"name","Population","Parent","Count","ParentCount","Percent_Parent"
"00_Ctrl.fcs_INF052","/Scatter","root",10000,10000,1
"00_Ctrl.fcs_INF052","/Scatter/Singlets","/Scatter",9986,10000,1
"00_Ctrl.fcs_INF052","/Scatter/Singlets/Live","/Scatter/Singlets",9708,9986,0.97
"00_Ctrl.fcs_INF052","/Scatter/Singlets/Live/Tcells","/Scatter/Singlets/Live",9708,9708,1
"00_Ctrl.fcs_INF052","/Scatter/Singlets/Live/Tcells/CD4+","/Scatter/Singlets/Live/Tcells",6151,9708,0.63
"00_Ctrl.fcs_INF052","/Scatter/Singlets/Live/Tcells/CD4+/TNFa+IFNg+","/Scatter/Singlets/Live/Tcells/CD4+",0,6151,0
"00_Ctrl.fcs_INF052","/Scatter/Singlets/Live/Tcells/CD4+/TNFa+IFNg-","/Scatter/Singlets/Live/Tcells/CD4+",3,6151,0
"00_Ctrl.fcs_INF052","/Scatter/Singlets/Live/Tcells/CD4+/TNFa-IFNg+","/Scatter/Singlets/Live/Tcells/CD4+",63,6151,0.01
"00_Ctrl.fcs_INF052","/Scatter/Singlets/Live/Tcells/CD4+/TNFa-IFNg-","/Scatter/Singlets/Live/Tcells/CD4+",6085,6151,0.99
"00_Ctrl.fcs_INF052","/Scatter/Singlets/Live/Tcells/CD4-CD8-","/Scatter/Singlets/Live/Tcells",636,9708,0.07
"00_Ctrl.fcs_INF052","/Scatter/Singlets/Live/Tcells/CD4-CD8-/TNFa+IFNg+","/Scatter/Singlets/Live/Tcells/CD4-CD8-",0,636,0
"00_Ctrl.fcs_INF052","/Scatter/Singlets/Live/Tcells/CD4-CD8-/TNFa+IFNg-","/Scatter/Singlets/Live/Tcells/CD4-CD8-",1,636,0
"00_Ctrl.fcs_INF052","/Scatter/Singlets/Live/Tcells/CD4-CD8-/TNFa-IFNg+","/Scatter/Singlets/Live/Tcells/CD4-CD8-",0,636,0
"00_Ctrl.fcs_INF052","/Scatter/Singlets/Live/Tcells/CD4-CD8-/TNFa-IFNg-","/Scatter/Singlets/Live/Tcells/CD4-CD8-",635,636,1
"00_Ctrl.fcs_INF052","/Scatter/Singlets/Live/Tcells/CD8+","/Scatter/Singlets/Live/Tcells",2818,9708,0.29
"00_Ctrl.fcs_INF052","/Scatter/Singlets/Live/Tcells/CD8+/TNFa+IFNg+","/Scatter/Singlets/Live/Tcells/CD8+",0,2818,0
"00_Ctrl.fcs_INF052","/Scatter/Singlets/Live/Tcells/CD8+/TNFa+IFNg-","/Scatter/Singlets/Live/Tcells/CD8+",3,2818,0
"00_Ctrl.fcs_INF052","/Scatter/Singlets/Live/Tcells/CD8+/TNFa-IFNg+","/Scatter/Singlets/Live/Tcells/CD8+",41,2818,0.01
"00_Ctrl.fcs_INF052","/Scatter/Singlets/Live/Tcells/CD8+/TNFa-IFNg-","/Scatter/Singlets/Live/Tcells/CD8+",2774,2818,0.98
"00_Ctrl.fcs_INF100","/Scatter","root",10000,10000,1
"00_Ctrl.fcs_INF100","/Scatter/Singlets","/Scatter",9996,10000,1
"00_Ctrl.fcs_INF100","/Scatter/Singlets/Live","/Scatter/Singlets",9847,9996,0.99
"00_Ctrl.fcs_INF100","/Scatter/Singlets/Live/Tcells","/Scatter/Singlets/Live",9786,9847,0.99
"00_Ctrl.fcs_INF100","/Scatter/Singlets/Live/Tcells/CD4+","/Scatter/Singlets/Live/Tcells",5995,9786,0.61
"00_Ctrl.fcs_INF100","/Scatter/Singlets/Live/Tcells/CD4+/TNFa+IFNg+","/Scatter/Singlets/Live/Tcells/CD4+",0,5995,0
"00_Ctrl.fcs_INF100","/Scatter/Singlets/Live/Tcells/CD4+/TNFa+IFNg-","/Scatter/Singlets/Live/Tcells/CD4+",3,5995,0
"00_Ctrl.fcs_INF100","/Scatter/Singlets/Live/Tcells/CD4+/TNFa-IFNg+","/Scatter/Singlets/Live/Tcells/CD4+",42,5995,0.01
"00_Ctrl.fcs_INF100","/Scatter/Singlets/Live/Tcells/CD4+/TNFa-IFNg-","/Scatter/Singlets/Live/Tcells/CD4+",5950,5995,0.99
"00_Ctrl.fcs_INF100","/Scatter/Singlets/Live/Tcells/CD4-CD8-","/Scatter/Singlets/Live/Tcells",273,9786,0.03
"00_Ctrl.fcs_INF100","/Scatter/Singlets/Live/Tcells/CD4-CD8-/TNFa+IFNg+","/Scatter/Singlets/Live/Tcells/CD4-CD8-",0,273,0
"00_Ctrl.fcs_INF100","/Scatter/Singlets/Live/Tcells/CD4-CD8-/TNFa+IFNg-","/Scatter/Singlets/Live/Tcells/CD4-CD8-",1,273,0
"00_Ctrl.fcs_INF100","/Scatter/Singlets/Live/Tcells/CD4-CD8-/TNFa-IFNg+","/Scatter/Singlets/Live/Tcells/CD4-CD8-",0,273,0
"00_Ctrl.fcs_INF100","/Scatter/Singlets/Live/Tcells/CD4-CD8-/TNFa-IFNg-","/Scatter/Singlets/Live/Tcells/CD4-CD8-",272,273,1
"00_Ctrl.fcs_INF100","/Scatter/Singlets/Live/Tcells/CD8+","/Scatter/Singlets/Live/Tcells",3430,9786,0.35
"00_Ctrl.fcs_INF100","/Scatter/Singlets/Live/Tcells/CD8+/TNFa+IFNg+","/Scatter/Singlets/Live/Tcells/CD8+",0,3430,0
"00_Ctrl.fcs_INF100","/Scatter/Singlets/Live/Tcells/CD8+/TNFa+IFNg-","/Scatter/Singlets/Live/Tcells/CD8+",3,3430,0
